Date,Open,High,Low,Close,Adj Close,Volume
4/15/2019,724.7,731.35,712.6,727.5,701.07,31574803
4/16/2019,727.9,727.9,714.1,724.1,697.79,12524411
4/18/2019,722.5,722.5,712.75,717.05,691,13801105
4/22/2019,717.05,725.75,715,721.05,694.85,6455426
4/23/2019,723.9,730,718.4,728.2,701.74,5516668
4/24/2019,728.2,737.9,724,736.45,709.69,8285120
4/25/2019,736.45,737.65,727.05,728.55,702.08,8005235
4/26/2019,731,739.8,729,738,711.19,6895168
4/30/2019,738,753.8,738,751.35,724.05,9920046
5/2/2019,747,748.4,729.5,730.8,704.25,6351352
5/3/2019,722.9,731,718.2,723.6,697.31,6348116
5/6/2019,715,721.8,710.65,718.4,692.3,8858265
5/7/2019,720.4,727.9,718.7,724.55,698.22,5747436
5/8/2019,721,726,716.5,719.35,693.21,6247642
5/9/2019,719.15,730.3,715.8,721.05,694.85,7396525
5/10/2019,720.8,726,715,716.85,690.8,8352335
5/13/2019,716.55,726.45,712.1,719.7,693.55,6808993
5/14/2019,716.5,717.75,703.6,713.85,687.91,10513001
5/15/2019,714.9,725.2,712.6,716.1,690.08,6668929
5/16/2019,720,737,719.1,733.1,706.46,6468556
5/17/2019,733.15,735.8,720.1,723.9,697.6,8155948
5/20/2019,719.7,726.4,706,722.4,696.15,11213708
5/21/2019,722.65,722.65,707.7,709.3,683.53,8645535
5/22/2019,710,718.25,707,709.75,683.96,5795713
5/23/2019,715,716.7,697.45,701.05,675.58,7233736
5/24/2019,703.8,711.75,700.45,709.2,683.43,7016424
5/27/2019,707.4,713.8,705.5,708.1,682.37,10247544
5/28/2019,712,733.45,709.8,728.1,701.65,23860490
5/29/2019,725.5,733.65,723.65,727.8,701.36,10293077
5/30/2019,727,737.25,722.55,733.55,706.9,15089296
5/31/2019,736.5,742.95,733.2,737.75,710.95,8290306
6/3/2019,729.8,750.9,729,744.65,717.59,7744761
6/4/2019,737.25,739.45,733.15,735.3,708.58,11733702
6/6/2019,736.5,744.65,733.65,735.6,708.87,7563925
6/7/2019,735.85,743.95,735.85,739.1,712.25,3218358
6/10/2019,740.1,754.1,740.1,753.5,726.12,4435148
6/11/2019,755,759,750.5,754.9,727.47,5733127
6/12/2019,756.95,756.95,745,753.8,726.41,8738342
6/13/2019,740,747.2,740,742.65,725.78,4808577
6/14/2019,743.85,745.5,738.25,740.45,723.63,5556353
6/17/2019,743,744.5,737.8,740.55,723.72,3085588
6/18/2019,740.2,752.45,740.2,750.15,733.11,6202838
6/19/2019,752.5,755.4,748.6,751.9,734.82,4596253
6/20/2019,737.8,756.9,735.9,754.9,737.75,7148684
6/21/2019,755,755,747.15,750.2,733.16,13200318
6/24/2019,751.9,751.9,742.65,745.5,728.56,4758178
6/25/2019,744,750.9,737.3,748.1,731.1,3677911
6/26/2019,743,751.45,738,739.2,722.41,5447130
6/27/2019,742,744.7,728.15,730.55,713.95,11122346
6/28/2019,735.5,739.5,728.5,732,715.37,5919494
7/1/2019,735,737.5,729.85,731.3,714.68,3224968
7/2/2019,734,741.65,730.1,740,723.19,4837606
7/3/2019,741,743.2,730,731.3,714.68,5958379
7/4/2019,729,736.4,728.6,733.8,717.13,3274064
7/5/2019,735,736.4,713.5,718,701.69,4926289
7/8/2019,716.45,724.95,712.3,717.6,701.3,7177092
7/9/2019,718,719.85,709.05,715.5,699.24,5022638
7/10/2019,709,722.7,706.5,717.25,700.95,7573816
7/11/2019,719.45,723.5,709.6,721.5,705.11,6252688
7/12/2019,722.5,730.6,719.6,726.75,710.24,7874441
7/15/2019,763,781.65,754.2,779.35,761.64,31064152
7/16/2019,777,787.8,776,784.85,767.02,9924322
7/17/2019,783.9,795,776.75,794.15,776.11,6754348
7/18/2019,789.05,798.5,786.2,792.7,774.69,6534471
7/19/2019,788.7,794.5,781.25,785.4,767.56,6812754
7/22/2019,785.95,792,782.05,784.4,766.58,7107151
7/23/2019,787,804,785.55,790.05,772.1,10782564
7/24/2019,788,793.75,783.6,786.3,768.44,5745146
7/25/2019,788.25,800.2,787.65,794.5,776.45,9773568
7/26/2019,792.3,795,782.2,787,769.12,4941763
7/29/2019,789.5,796.95,786.2,791.45,773.47,6244316
7/30/2019,791.9,797.8,788.55,792.7,774.69,8673253
7/31/2019,790.85,799.8,781.6,793.65,775.62,7350584
8/1/2019,786.45,788.4,764.4,768.85,751.38,10066407
8/2/2019,765.05,779.9,762.25,775.6,757.98,10838336
8/5/2019,772.6,785.9,768.65,776.7,759.05,9976238
8/6/2019,778.8,783.7,769.8,774.45,756.85,9331718
8/7/2019,778.9,783.45,772.35,776.1,758.47,5130457
8/8/2019,782.7,792.75,781.25,788.75,770.83,8009009
8/9/2019,792,796.75,784.8,789.85,771.9,4362520
8/13/2019,784.15,786,760.15,764.75,747.37,7517099
8/14/2019,775.1,778.25,768,774.8,757.2,5940968
8/16/2019,780,780.05,762.5,774.55,756.95,5128088
8/19/2019,775.6,783,773.35,777.65,759.98,3881451
8/20/2019,785.2,798,783.85,792.75,774.74,8435344
8/21/2019,793,803.75,793,799.45,781.29,5926896
8/22/2019,799.9,801.3,792.35,795.7,777.62,5222488
8/23/2019,796.45,809.95,795.8,802.2,783.97,6895015
8/26/2019,795.9,806.8,786.9,802.55,784.32,5412074
8/27/2019,791,794.95,781.1,784.65,766.82,16061642
8/28/2019,787.4,805,786.3,802.5,784.27,5881134
8/29/2019,795.5,809.7,795.5,806.95,788.62,7830413
8/30/2019,810,817.35,802,814.9,796.39,8174186
9/3/2019,815,822.4,812.05,814.25,795.75,5647088
9/4/2019,810.75,822.45,810.25,821.3,802.64,6199015
9/5/2019,830.1,837.5,826.65,834.05,815.1,7926895
9/6/2019,843.3,847,835.05,840.15,821.06,6106841
9/9/2019,836.8,840.3,827.55,829.1,810.26,4377870
9/11/2019,822.3,828.55,814.15,820.1,801.47,7981036
9/12/2019,816.4,819.85,810.85,816.4,797.85,4400017
9/13/2019,818.1,831.05,817.5,829.3,810.46,4832021
9/16/2019,832.05,837.95,820.55,827.7,808.89,4846496
9/17/2019,831.5,835,820.55,831.25,812.36,5540901
9/18/2019,829.9,832.95,824,829.85,811,3199389
9/19/2019,824.85,827,815.2,820.7,802.05,6601607
9/20/2019,822.9,835,802,805,786.71,22462366
9/23/2019,806.9,806.9,741.9,764.35,746.98,17279260
9/24/2019,765,798.65,765,794.05,776.01,13717998
9/25/2019,787.7,801,781.65,792.65,774.64,9313576
9/26/2019,787.75,797,778.1,782.55,764.77,18442824
9/27/2019,787.05,794.25,780.1,782.2,764.43,5087642
9/30/2019,785.1,808,784.15,805.65,787.35,8178091
10/1/2019,807,807.55,791.55,793.55,775.52,5881438
10/3/2019,792.55,797.85,784.15,785.6,767.75,5497672
10/4/2019,790,797.6,787.05,793.45,775.42,8201713
10/7/2019,794.85,802,786.1,789.55,771.61,3679845
10/9/2019,795.45,795.9,778.8,783.65,765.85,6335025
10/10/2019,785.4,794.7,776.6,783.05,765.26,10402917
10/11/2019,781.5,823.8,776.6,814.8,796.29,20636344
10/14/2019,786.75,797,780,786.1,768.24,15150858
10/15/2019,773.1,775.95,765,768.3,750.84,13762133
10/16/2019,765.25,775.95,761.55,771.45,753.92,10767032
10/17/2019,767,770.55,765.1,769.5,752.02,9860495
10/18/2019,763.8,773.8,760,767.85,750.4,10037200
10/22/2019,691.1,691.1,638.35,643.55,635.55,90152532
10/23/2019,630,656.65,615.1,650.6,650.6,60516887
10/24/2019,650,653.2,632,635.35,635.35,25666433
10/25/2019,647,652.5,636,637.45,637.45,16549337
10/27/2019,651.1,652.5,645.55,648.85,648.85,2945281
10/29/2019,651,653.75,647,650.65,650.65,16709764
10/30/2019,660.4,671.4,656.2,660.6,660.6,22879467
10/31/2019,668.4,695.45,666.1,685.6,685.6,27405901
11/1/2019,690,694,682.6,687.9,687.9,9713519
11/4/2019,681.8,732.5,678.15,709,709,29381982
11/5/2019,708.75,708.75,691.5,696.1,696.1,12897805
11/6/2019,695.8,721.5,692,712.3,712.3,21372589
11/7/2019,717,724.35,712.1,720.1,720.1,13733737
11/8/2019,722,724.25,705.5,708.15,708.15,8585630
11/11/2019,698.9,707.2,698,704.4,704.4,6951494
11/13/2019,696.5,700,687.75,691.35,691.35,9973690
11/14/2019,696.35,709.8,696.35,705.3,705.3,10539902
11/15/2019,709.05,712.95,702.3,703.9,703.9,7362623
11/18/2019,705,710,699.3,705.2,705.2,7490916
11/19/2019,709.9,714,705,712.85,712.85,6495885
11/20/2019,712.8,715,705,713,713,6142171
11/21/2019,715.5,721.45,710.5,713.25,713.25,9692973
11/22/2019,711.75,712,685.1,693.2,693.2,14415826
11/25/2019,693.35,705.15,693.2,698.1,698.1,7334511
11/26/2019,705,707.25,686,690.6,690.6,27252999
11/27/2019,694.25,697.65,690.1,695.75,695.75,3859538
